id,age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,num_companies_worked,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager
1,41,Yes,Rarely,1102.0,Sales,1,Educación básica,Life Sciences,2,Female,94.0,Satisfecho,Junior,Sales Executive,Muy satisfecho,Single,5993.0,8,Yes,11,3,1,0,8,0,Nada satisfecho,6,4,0,5
2,49,No,Frequently,279.0,Research & Development,8,Sin estudios,Life Sciences,3,Male,61.0,Insatisfecho,Junior,Research Scientist,Insatisfecho,Married,5130.0,1,No,23,4,4,1,10,3,Satisfecho,10,7,1,7
4,37,Yes,Rarely,1373.0,Research & Development,2,Educación básica,Other,4,Male,92.0,Insatisfecho,Becario,Laboratory Technician,Satisfecho,Single,2090.0,6,Yes,15,3,2,0,7,3,Satisfecho,0,0,0,0
5,33,No,Frequently,1392.0,Research & Development,3,Estudios universitarios,Life Sciences,4,Female,56.0,Satisfecho,Becario,Research Scientist,Satisfecho,Married,2909.0,1,Yes,11,3,3,0,8,3,Satisfecho,8,7,3,0
7,27,No,Rarely,591.0,Research & Development,2,Sin estudios,Medical,1,Male,40.0,Satisfecho,Becario,Laboratory Technician,Insatisfecho,Married,3468.0,9,No,12,3,4,1,6,3,Satisfecho,2,2,2,2
8,32,No,Frequently,1005.0,Research & Development,2,Educación básica,Life Sciences,4,Male,79.0,Satisfecho,Becario,Laboratory Technician,Muy satisfecho,Single,3068.0,0,No,13,3,3,0,8,2,Insatisfecho,7,7,3,6
10,59,No,Rarely,1324.0,Research & Development,3,FP/Bachiller,Medical,3,Female,81.0,Muy satisfecho,Becario,Laboratory Technician,Nada satisfecho,Married,2670.0,4,No,20,4,1,3,12,3,Insatisfecho,1,0,0,3
11,30,No,Rarely,1358.0,Research & Development,24,Sin estudios,Life Sciences,4,Male,67.0,Satisfecho,Becario,Laboratory Technician,Satisfecho,Divorced,2693.0,1,No,22,4,2,1,1,2,Satisfecho,1,0,0,0
12,38,No,Frequently,216.0,Research & Development,23,FP/Bachiller,Life Sciences,4,Male,44.0,Insatisfecho,Senior,Manufacturing Director,Satisfecho,Single,9526.0,0,No,21,4,2,0,10,2,Satisfecho,9,7,1,8
13,36,No,Rarely,1299.0,Research & Development,27,FP/Bachiller,Unknown,3,Male,94.0,Satisfecho,Junior,Healthcare Representative,Satisfecho,Married,5237.0,6,No,13,3,2,2,17,3,Insatisfecho,7,7,7,6
